analyst,n_observations,n_firms_covered,firms_covered,avg_abs_fe,n_times_smart_weighted,avg_weight_when_smart_weighted
Sunil K. Sibal,7,1,WMB-US,0.02835754550853033,0,
Steve Scala,12,1,LLY-US,0.028417583766215632,0,
Laura Martin,18,3,"AAPL-US, AMZN-US, META-US",0.028465321622826487,0,
Yong-Jei Jeong,7,2,"AMZN-US, META-US",0.028612884515373242,0,
Paul Lee,2,1,NVDA-US,0.028659146992665897,0,
Ralph M. Profiti,4,1,FCX-US,0.02881695374977605,0,
Robert Catellier,6,1,WMB-US,0.028824182854294434,0,
Jim Hin Kwong Au,3,1,TSM-US,0.02883626619578693,0,
Young-gun Kim,5,1,NVDA-US,0.029005019588684046,0,
Michael Graham,3,1,AMZN-US,0.02901999352570873,0,
Phillip Securities Research Team,3,1,MSFT-US,0.029067312707920834,0,
Bin Yang,2,1,WMB-US,0.0291035890357197,0,
Yoon-Chul Park,1,1,LLY-US,0.0291425790108297,0,
Brent Thill,15,3,"AMZN-US, META-US, MSFT-US",0.02918995755019375,0,
Ye Tao,9,2,"AMZN-US, MSFT-US",0.029199667670168978,0,
Keith Bachman,3,1,MSFT-US,0.029203669938154233,0,
Michael Morton,10,1,AMZN-US,0.02922785681411515,0,
Jennifer Liang,2,1,TSLA-US,0.02928469818243145,0,
Mark Kelley,14,2,"AMZN-US, META-US",0.029345054615502998,0,
Tian Zi Fu,16,6,"AAPL-US, AMZN-US, META-US, MSFT-US, NVDA-US, QCOM-US",0.029382336209174707,0,
Liam Burke,5,1,MTZ-US,0.029434223460366577,0,
Lloyd Walmsley,6,2,"AMZN-US, META-US",0.029434433462156698,0,
Adam Frisch,5,1,V-US,0.02950728512762848,0,
Brad R. Reback,3,1,MSFT-US,0.02960119473013023,0,
Derrick Wood,4,1,MSFT-US,0.029623918742823073,0,
Irene Weng,15,4,"AMZN-US, META-US, MSFT-US, V-US",0.029670052435050744,0,
Richard C. Shannon,7,1,NVDA-US,0.029714905770795868,0,
Rohit Seth,7,1,MLM-US,0.029815560638871717,0,
Yen Chun Wang,2,1,TSM-US,0.029851620103236297,0,
Brian Brophy,16,3,"EME-US, MLM-US, MTZ-US",0.029861129744388638,0,
Srikripa Devarakonda,9,1,LLY-US,0.029891348353391592,0,
Nate Svensson,4,1,V-US,0.029966887395324375,0,
Xiaodi Gao,3,1,LLY-US,0.030002647649880965,0,
Adam R. Thalhimer,15,3,"EME-US, MLM-US, MTZ-US",0.030022779547950795,0,
Narumi Nakagiri,20,2,"LLY-US, VRTX-US",0.03002658728022516,0,
Yuanyuan Kou,2,1,V-US,0.03008176755698215,0,
Tommy Wong,12,3,"AMZN-US, META-US, MSFT-US",0.03018225715605562,0,
Andrew Schmidt,3,1,V-US,0.030196127418533,0,
Trevor Williams,5,1,V-US,0.03024024951300878,0,
Sarena Hsu,3,1,TSM-US,0.030248022120427803,0,
Hui Ting Tang,8,5,"AAPL-US, LLY-US, META-US, MSFT-US, V-US",0.030261430660089936,0,
Andrew W. Jeffrey,6,1,V-US,0.03026291801783275,0,
Deepak Mathivanan,14,2,"AMZN-US, META-US",0.03027555293113373,0,
Daniel Perlin,6,1,V-US,0.03031763349681907,0,
Matthew Coad,4,1,V-US,0.030325844734709676,0,
Madison Suhr,2,1,V-US,0.0303755040742133,0,
Chris Allen,1,1,CME-US,0.0303883623394207,0,
Ramsey El-Assal,2,1,V-US,0.0304471109403584,0,
Brian J. White,19,3,"AAPL-US, AMZN-US, META-US",0.030457060507581516,0,
Sanjay Sakhrani,6,1,V-US,0.030470281173310215,0,
Je-Min Park,2,2,"MSFT-US, NVDA-US",0.03050860341020865,0,
Jason Kupferberg,3,1,V-US,0.030512855783414835,0,
Rob Sanderson,12,2,"AMZN-US, META-US",0.030552280753785663,0,
Steve Wong,1,1,MSFT-US,0.0305894934153609,0,
Alex Markgraff,3,1,V-US,0.0306250038850778,0,
Jackson Ader,8,1,MSFT-US,0.03062862307837006,0,
Qiao Sheng Cheng,4,1,NVDA-US,0.0306378147819239,0,
Jacob Aiken-Phillips,8,2,"BJ-US, CMG-US",0.030668867460570633,0,
Yun Kim,5,1,MSFT-US,0.030685963120407122,0,
Rishi N. Jaluria,3,1,MSFT-US,0.030750733869437965,0,
Gus Gala,7,1,V-US,0.03075219588924431,0,
Matthew Prisco,4,1,TXN-US,0.030780390613782953,0,
David S. MacGregor,8,1,MLM-US,0.030802156125220397,0,
Andrew Bauch,1,1,V-US,0.0308735587885795,0,
Michael Turrin,5,1,MSFT-US,0.03089208487388694,0,
James Shin,10,1,LLY-US,0.030956584482456702,0,
Scott Bender,12,2,"AMZN-US, BJ-US",0.030957056051014727,0,
Andrew Dusing,2,1,V-US,0.0309718673314191,0,
Jun Xia,5,3,"AAPL-US, NVDA-US, TSM-US",0.0310022321762712,0,
Ze Yu Yao,5,1,V-US,0.031013293901940197,0,
Jeff Cantwell,7,1,V-US,0.03102032790404094,0,
James E. Friedman,7,1,V-US,0.03102850658266587,0,
Dominick Gabriele,6,1,V-US,0.03105674577554235,0,
Jun Yun Chen,3,3,"AMZN-US, META-US, TSM-US",0.031063029664610803,0,
Andrew Boone,12,2,"AMZN-US, META-US",0.03106357576670622,0,
Barton Crockett,17,3,"AAPL-US, AMZN-US, META-US",0.031107041747295363,0,
Joe Wittine,2,1,META-US,0.0311260244559513,0,
Dan Zhao,3,3,"AMZN-US, META-US, MSFT-US",0.031145450921188134,0,
Ruben Roy,12,2,"AMD-US, NVDA-US",0.031154517921315874,0,
Ananda Baruah,6,2,"AAPL-US, NVDA-US",0.03118851533578292,0,
Akash Tewari,10,2,"LLY-US, VRTX-US",0.03122859863200399,0,
Kirk Materne,6,1,MSFT-US,0.031350784314878734,0,
Scott Devitt,12,2,"AMZN-US, META-US",0.03135611323923103,0,
Arvind Ramnani,2,1,V-US,0.0314404001031201,0,
Edward H. Yang,7,1,KLAC-US,0.031498776973330915,0,
Jason Ader,5,1,MSFT-US,0.03150455661874648,0,
Rayna Kumar,7,1,V-US,0.03159334930985812,0,
Nathaniel Schindler,13,2,"AMZN-US, META-US",0.03161046336831515,0,
Ari Terjanian,3,1,MSFT-US,0.03161088335641763,0,
Siyu Cai,15,7,"AMD-US, AMZN-US, META-US, MU-US, NVDA-US, TSLA-US, TXN-US",0.03169391409421129,0,
Peng Rui Huang,4,3,"AAPL-US, GS-US, MSFT-US",0.031712884655004825,0,
Dan Dolev,8,1,V-US,0.03171394082979116,0,
Rong Jin,34,7,"AMD-US, AMZN-US, META-US, MSFT-US, NVDA-US, TSLA-US, TSM-US",0.031786676714856334,0,
Jasper Hellweg,10,2,"LLY-US, VRTX-US",0.03178901655040403,0,
Terry Tillman,3,1,MSFT-US,0.031941919594102065,0,
Sophie Huang,16,3,"AAPL-US, AMD-US, NVDA-US",0.03197592106225346,0,
Bryan C. Bergin,8,1,V-US,0.03199951878377527,0,
Thomas Blakey,2,1,MSFT-US,0.032027276604131405,0,
Liang Wei Zhang,14,3,"AMD-US, MSFT-US, NVDA-US",0.03203027031063606,0,
Kathryn I. Thompson,7,1,MLM-US,0.03206657879648993,0,
Soo-Jin Kim,3,1,MSFT-US,0.032077208368032496,0,
John DiFucci,7,1,MSFT-US,0.03210690064719991,0,
Lun Ke Zhang,32,4,"AMZN-US, META-US, MSFT-US, NVDA-US",0.03217333917270984,0,
Chun Sheng Xie,11,3,"AAPL-US, MSFT-US, TSM-US",0.03219603997098524,0,
Mark Mahaney,12,2,"AMZN-US, META-US",0.032241845953881014,0,
Satoshi Tanaka,24,3,"AMZN-US, META-US, MSFT-US",0.03227224566463032,0,
Brad Zelnick,7,1,MSFT-US,0.0323308807818584,0,
Cheng Chieh Tsai,4,1,TSM-US,0.03233311315573788,0,
Patrick Moley,6,1,CME-US,0.03254226141166745,0,
Seamus Fernandez,12,1,LLY-US,0.032617883975811196,0,
Saken Ismailov,4,1,META-US,0.03263320539420808,0,
