analyst,n_predictions,accuracy_score,predictability_r2,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,predictability_r2_z,consistency_score_z,freshness_score_z,reliability_composite_raw,credibility_weight,reliability_composite,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_obs,r_squared,factor_alpha_z,factor_adjusted_composite_raw,factor_adjusted_composite
Narumi Nakagiri,2,-0.031606362147914,-1.231617668899481,-0.0038579405752562548,70.5,Daiwa Securities Co. Ltd.,467,1,-70.5,0.013787213858834545,0.6107688193010843,0.5114295843061745,-0.033761483561537804,0.27555603347613883,0.16666666666666666,0.04592600557935647,0.027879188961140566,9.670658194196331,0.11151675584456226,0.0003807785227952365,-0.0011685601806667347,-0.0007818693995044251,-0.0011838969834777056,,,10,0.800482224539746,-0.7005839316981314,0.08032804044128479,0.01338800674021413
Mohit Bansal,2,-0.03120848121314725,-8.537527095749695,-0.004380732544438295,48.0,Wells Fargo Securities,596,1,-48.0,0.047247973428936066,-0.5708434833839389,0.4591445117405376,0.38507367456227104,0.08015566908695146,0.16666666666666666,0.013359278181158576,0.03510672183969709,7.248136535505159,0.14042688735878836,0.0005979221119238708,-0.0017251319563466436,-0.0010830736451978875,-0.001781712767408708,,,12,0.6858389080570282,-0.05944262150740798,0.052236010968079574,0.008706001828013262
Ben Reitzes,5,-0.02845489174017838,-2.781637194400326,-0.009505130242499433,105.6,Melius Research,3130,1,-105.6,0.27881774030853684,0.36007831196975787,-0.053352851058495604,-0.6871443302346796,-0.025400282253720124,0.3333333333333333,-0.008466760751240041,0.03816343808849091,7.159400536336641,0.15265375235396364,0.0006028794304988268,-0.0016294145585063306,-0.00094499751036953,-0.0018565990633358845,,,12,0.6244926230796168,0.21171312327619093,0.022022398852262086,0.007340799617420695
John Blackledge,2,-0.025867116142760202,-6.760299270822547,-0.00622007466821207,85.0,TD Cowen,917,1,-85.0,0.4964429882670664,-0.2834057203464863,0.2751896270375225,-0.30367747435243686,0.046137355151416426,0.16666666666666666,0.007689559191902737,0.03151647584098538,6.790296486132034,0.12606590336394152,0.0011614540568745993,-0.0019490665463338462,-0.0003664284827574329,-0.0019368413073420328,,,12,0.6987937397225603,-0.37792682105362324,-0.038675480089591506,-0.006445913348265251
Brad Erickson,2,-0.024804534691996,-5.803781140885848,-0.007527034967185544,85.0,RBC Capital Markets,1269,1,-85.0,0.5858033454515945,-0.12870443347852803,0.14447890824214651,-0.30367747435243686,0.07447508646569403,0.16666666666666666,0.012412514410949005,0.029332957652955412,7.020860936110691,0.11733183061182165,0.001252766027871478,-0.0021861480509869392,-0.00038727624093125876,-0.0017026842325404828,,,12,0.7486405600833049,-0.5716227523516078,-0.05474448129776632,-0.009124080216294387
Lun Ke Zhang,4,-0.030288867363043873,-0.39948425283169176,-0.006203289457311725,111.0,Guosen Securities,1894,1,-111.0,0.12458512443790148,0.7453528969913172,0.2768683367761728,-0.7876647681843938,0.08978539750524944,0.2857142857142857,0.025652970715785553,0.02816356398375807,7.194344561233808,0.11265425593503228,0.0009636544616328388,-0.001541682803078627,-0.0006717907686328906,-0.0012950202403116875,,,9,0.8562007816370933,-0.6753575401133286,-0.06324319001846616,-0.0180694828624189
Thomas Champion,2,-0.02379421175793555,-9.791938368799538,-0.005775999122974098,130.5,Piper Sandler Companies,570,1,-130.5,0.6707688962754218,-0.7737241524783417,0.3196021725165966,-1.1506552385583615,-0.2335020805611712,0.16666666666666666,-0.038917013426861866,0.03257400990470507,6.127243554339352,0.13029603961882028,0.0010111246071503601,-0.0019232868233989486,-0.0006528222563259311,-0.0019714025176129405,,,12,0.6557467628402622,-0.28411489565979836,-0.24362464358089664,-0.04060410726348277
Kazuya Nishimura,3,-0.051459877589182364,0.5941436295049326,-0.005317348663314006,258.6666666666667,Daiwa Securities Co. Ltd.,467,1,-258.6666666666667,-1.6558421871855256,0.9060560841598998,0.36547237324502524,-3.536464398537688,-0.9801945320795721,0.23076923076923078,-0.22619873817220895,0.052812696040908755,6.6593323809320975,0.21125078416363502,0.0004957314583792754,-0.0021547568389616236,-0.001764258839782049,-0.0009754678216674238,,,10,0.6732099023967795,1.5112221804817336,-0.48191118956731094,-0.1112102745155333
Aaron Rakers,6,-0.04976262443524301,-0.22315492811093973,-0.031168474718538643,25.166666666666668,Wells Fargo Securities,596,1,-25.166666666666668,-1.5131075780320256,0.7738713041109646,-2.2199307725140836,0.8101137979916178,-0.5372633121108816,0.375,-0.2014737420415806,0.029544455365008344,2.4847861149696615,0.11817782146003337,0.007002226169554969,-0.0053750307446403574,0.0020366630468355695,-0.001968981883611213,,,10,0.8441593888855232,-0.5528611745786072,-0.5403828846044267,-0.20264358172666003
Vijay Rakesh,9,-0.03326885942181151,-2.85355378235402,-0.042227906835254576,53.888888888888886,Mizuho Securities USA,1802,1,-53.888888888888886,-0.1260245154979511,0.34844697080079806,-3.3259982808997735,0.2754526208311014,-0.7070308011914563,0.47368421052631576,-0.3349093268801635,0.038553568963810445,3.5670991056831363,0.15421427585524178,-3.771147354382208e-05,-0.0033600180814247396,-0.0014725720960084114,-0.0018516114535159648,,,13,0.42439671054962813,0.24632092440987124,-0.5163604560711909,-0.2445917949810904
Ross Seymore,5,-0.026832090552152736,-26.793435406397933,-0.013274741941219031,86.4,Deutsche Bank Research,77,1,-86.4,0.41529113131037915,-3.5234404287106704,-0.4303563875133527,-0.3297383286356962,-0.967061003387335,0.3333333333333333,-0.32235366779577834,0.03145524131980938,6.063027235820179,0.12582096527923753,0.002214965911970141,-0.002179998119931642,4.430615950197026e-07,-0.00233718764629083,,,10,0.852385160586728,-0.3833588241721649,-0.850320567544301,-0.28344018918143365
