analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Keith Bachman,3,0.029203669938154233,-0.029203669938154233,-0.002292167226216275,89.0,BMO Capital Markets,181,1,-89.0,0.7899697667513945,0.8012213876279133,-0.3145651767090935,0.4255419925567381,0.23076923076923078,0.09820199828232418,,,,,,,,,,3,,,0.4255419925567381,0.09820199828232418
Jun Yun Chen,1,0.0291500213893185,-0.0291500213893185,,15.0,Citic Securities,1123,1,-15.0,0.7936601847213345,,1.3277278231738918,1.0606940039476132,0.09090909090909091,0.09642672763160119,,,,,,,,,,1,,,1.0606940039476132,0.09642672763160119
Wayne Lin,1,0.0327598421622887,-0.0327598421622887,,6.0,Yuanta Research,762,1,-6.0,0.5453450347697176,,1.5274661609974982,1.036405597883608,0.09090909090909091,0.09421869071669163,,,,,,,,,,1,,,1.036405597883608,0.09421869071669163
Charles Shi,10,0.03262166050708123,-0.03262166050708123,-0.009167366824335468,56.0,Needham,477,1,-56.0,0.554850381597553,-0.0921397272025527,0.41780872864412966,0.2935064610130433,0.5,0.14675323050652164,0.03728407436850999,3.9517130627612973,0.14913629747403995,-0.000810990822167173,-0.0023939664853155213,-0.0010721071568210346,0.000563222702083781,,,6,0.8875469510940308,-0.13033497136054525,0.18754610291964616,0.09377305145982308
Brent Thill,2,0.0275445775642936,-0.0275445775642936,-4.165619688119987e-05,89.0,Jefferies,512,1,-89.0,0.9040966992250552,1.0936520310458948,-0.3145651767090935,0.5610611845206188,0.16666666666666666,0.09351019742010314,,,,,,,,,,2,,,0.5610611845206188,0.09351019742010314
Kirk Materne,6,0.031350784314878734,-0.031350784314878734,-0.0043239583962913905,62.166666666666664,Evercore ISI,1772,1,-62.166666666666664,0.6422723983912125,0.5372111288861083,0.28095097865388097,0.4868115019770672,0.375,0.1825543132414002,0.03214964474765831,4.816405192772924,0.12859857899063323,-0.0005926918568539103,7.163753290639812e-05,8.661115422360405e-05,0.00012756654925774475,,,6,0.8490142517754418,-0.46507466721641594,0.24883995967869643,0.09331498487951116
Curtis A Shauger,2,0.03030392400257695,-0.03030392400257695,-0.0035249200074818493,60.5,WestPark Capital,3079,1,-60.5,0.7142846371633118,0.6410379073864022,0.3179395597323265,0.5577540347606801,0.16666666666666666,0.09295900579344668,,,,,,,,,,2,,,0.5577540347606801,0.09295900579344668
Chris Allen,1,0.0303883623394207,-0.0303883623394207,,15.0,Keefe Bruyette & Woods,525,1,-15.0,0.7084762273851808,,1.3277278231738918,1.0181020252795363,0.09090909090909091,0.09255472957086694,,,,,,,,,,1,,,1.0181020252795363,0.09255472957086694
Tommy Wong,2,0.03044471791047255,-0.03044471791047255,-0.0021573174858772505,69.5,China Merchants Securities,1788,1,-69.5,0.7045995966723392,0.818743717364613,0.11820122190872018,0.5471815119818908,0.16666666666666666,0.09119691866364846,,,,,,,,,,2,,,0.5471815119818908,0.09119691866364846
Joseph Bonner,3,0.0291688785082852,-0.0291688785082852,-0.0030902394887939596,88.66666666666667,Argus Research,376,1,-88.66666666666667,0.7923630266023127,0.6975201472440392,-0.3071674604934045,0.3942385711176491,0.23076923076923078,0.09097813179638056,,,,,,,,,,3,,,0.3942385711176491,0.09097813179638056
